Generation,Individual,WalkingTime,ExposureTime
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
0,205,7368,E->D->U->H->S->R->C->B->P->T->V->I->L->G->K->Z->M->Y->X->O->N->A->F->W->Q->J,V2H
